model	split	seed	auroc	auprc	balanced_accuracy
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1316	1.0	0.9999999999999998	0.8846153846153846
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1317	0.8181818181818182	0.9841597796143251	0.8636363636363636
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1318	0.5166666666666666	0.8379889663713193	0.39166666666666666
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1319	0.4722222222222222	0.7544853294853295	0.5694444444444444
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1320	0.7723809523809524	0.7272510723687635	0.6461904761904762
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1321	0.72	0.8207688607688608	0.7
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1322	0.7605189340813464	0.7213227368386526	0.6363955119214586
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1323	0.6557319223985891	0.5809265527404762	0.6174603174603175
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1324	0.8	0.875	0.675
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1325	0.625	0.42499999999999993	0.5
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1326	0.8058823529411765	0.7714592222834474	0.6558823529411765
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1327	0.0	0.1111111111111111	0.0
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1328	0.9	0.9666666666666666	0.8
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1329	0.8461538461538463	0.9681776556776557	0.7564102564102564
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1330	0.3666666666666667	0.4438888888888889	0.3666666666666667
metadata_confounder_logistic	disease_free_random_cell	1301	0.6312286181764093	0.6358667889675641	0.6080246913580247
metadata_confounder_logistic	disease_free_random_cell	1302	0.6591179532946602	0.6487014725568943	0.6049382716049383
