PC1	PC2	age_group	disease	dataset_id
0.79579	-1.527351	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.6945843	1.2593436	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.1160543	2.6816714	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.706984	1.9198803	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.349514	4.080139	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
1.2858164	-0.85043144	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.8856716	2.0928497	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.8059994	1.0425334	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.0487747	3.6296306	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.7017477	1.0668355	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.5741171	4.99328	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.6497877	5.197686	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.72838485	4.2828765	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.3250684	2.4588227	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.7426415	1.0031809	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.9870838	4.3442416	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.0543392	1.6995046	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.281347	2.358483	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.37995642	3.3455684	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.8770085	3.724051	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.5962112	4.2094297	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.6996539	-1.376706	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.7972336	3.8625345	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.0117128	4.8668036	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.35706162	3.4576406	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.9215543	2.9184089	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.2941368	0.67263865	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.7664144	1.1474603	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.1950755	3.7649295	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.2521417	-4.0438447	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.69252837	3.2581954	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-5.2200704	0.5181335	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.1600573	1.2597121	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.76515865	3.0966215	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.7076871	0.931478	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.3804426	4.578342	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
0.34022638	0.38826913	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.9276419	0.49624228	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.2845045	-2.3574677	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-5.980114	-2.0778549	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.6453032	-2.0067165	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.2054384	-0.40245706	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.3659387	1.6589015	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.06550106	1.394069	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.0822873	3.022972	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.8425341	-1.3963708	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.7645066	5.539444	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.93587023	3.60634	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.1695246	-0.2821464	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.5995731	-1.3929597	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.2264402	1.3101133	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.984404	-2.85351	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.715798	1.1595591	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.7569007	3.1856618	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.9692189	4.028164	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.7448537	1.4245658	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.0660627	-2.4634337	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.741765	1.1410476	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.9695506	2.7014177	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.148216	-0.57309383	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.1999054	1.7835338	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.3060257	0.20932597	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.321527	-3.0576096	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.3861783	-1.2974153	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-5.554822	-1.5324204	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.1242528	3.3967662	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.6854444	1.1178858	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.7389772	0.8186988	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
0.269386	-1.6615714	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.4956684	-1.4776862	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.9283307	0.15785533	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.6874473	-0.40324515	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.09261	0.54483336	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.572918	0.28113315	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.8546255	-2.0252557	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-5.477589	-2.38604	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.6193862	-0.8581661	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.0164528	2.3368914	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.6738937	-0.3060544	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.0502079	-1.1817517	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.6366701	-0.4522156	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.112742	-2.6783974	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.905451	1.3506043	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.5975657	-2.6901324	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.6359013	0.10545557	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.1200902	-0.3889337	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.119456	2.2851694	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.6830807	2.4566257	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.9403716	-0.6378027	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.19210638	-2.2445047	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.0988102	-0.7881839	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.3960488	1.5781943	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.075789	5.1301584	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.012949	-5.320054	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-5.336759	-1.5197415	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.3554304	0.7361813	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.7318244	-0.8610463	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.90715516	1.1165665	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.2934017	-0.36841655	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.3767935	-2.4805133	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.5489572	0.18416584	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.6263407	3.0580847	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
0.3746878	-2.949448	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.0420766	-2.851138	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.7632332	1.8797258	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.5318208	0.06577117	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.1233773	0.52027315	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.0555131	0.06952259	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.9553084	-2.6022136	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.5176196	2.6501062	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.387102	2.578147	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.0524799	0.66151464	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.6035587	0.419376	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-5.5565305	-3.7660651	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.3482316	3.267111	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.4488797	2.2652073	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.2577097	-1.7448325	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.3787866	1.3775806	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.5296254	-2.3911376	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.9479527	0.94805354	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.330032	-3.806315	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.310152	-3.1568148	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.9402945	-2.6896439	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.025703596	-3.62956	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.3607807	-2.4995985	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.995921	-2.1141958	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.5080473	0.40142405	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.9959966	-1.9852213	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.48582044	-3.073357	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
0.014610297	-1.0038604	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.119821	1.0071404	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.4941344	-3.4659622	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.147241	1.4320139	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.3439654	-0.57624674	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.87244	-0.8172698	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.5698013	1.1272533	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.0823903	1.9564639	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.959262	2.7969704	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.3605576	2.6546428	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.104929	4.9549255	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.4347878	-1.5489793	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
